,Date,Open,High,Low,Close,Adj.Close,Volume,mean_5_before,percent_before,mean_5_after,percent_after
35,5/6/2020,0.002483,0.002583,0.002473,0.002529,0.002529,251393346,-5.00E-06,-0.78462142,-1.75E-05,-2.767892448
36,5/7/2020,0.002518,0.002678,0.002479,0.002664,0.002664,284491226,3.85E-05,6.135458167,-6.28E-05,-9.421921922
37,5/8/2020,0.002659,0.002672,0.002594,0.002625,0.002625,291757355,3.60E-05,5.804111245,-4.05E-05,-6.171428571
38,5/9/2020,0.002622,0.002634,0.002565,0.002613,0.002613,294993696,3.22E-05,5.193236715,-2.30E-05,-3.520857252
39,5/10/2020,0.002611,0.002613,0.00236,0.002459,0.002459,290801097,-1.75E-05,-2.767892448,2.88E-05,4.676697845
40,5/11/2020,0.002457,0.002512,0.002338,0.002413,0.002413,277646033,-6.28E-05,-9.421921922,2.32E-05,3.854123498
41,5/12/2020,0.002413,0.002513,0.002406,0.002463,0.002463,262934538,-4.05E-05,-6.171428571,1.25E-05,2.030044661
42,5/13/2020,0.002464,0.002528,0.002458,0.002521,0.002521,265878080,-2.30E-05,-3.520857252,4.25E-06,0.674335581
43,5/14/2020,0.002518,0.002623,0.002512,0.002574,0.002574,283778649,2.88E-05,4.676697845,-7.75E-06,-1.204351204
44,5/15/2020,0.002574,0.002577,0.002487,0.002506,0.002506,261080156,2.32E-05,3.854123498,8.00E-06,1.276935355
45,5/16/2020,0.002507,0.002534,0.002484,0.002513,0.002513,254666485,1.25E-05,2.030044661,-1.25E-06,-0.19896538
46,5/17/2020,0.002512,0.002578,0.002509,0.002538,0.002538,258469067,4.25E-06,0.674335581,-1.33E-05,-2.088258471
47,5/18/2020,0.002537,0.002587,0.002513,0.002543,0.002543,265626959,-7.75E-06,-1.204351204,-2.50E-06,-0.393236335
48,5/19/2020,0.002544,0.002565,0.002501,0.002538,0.002538,182890489,8.00E-06,1.276935355,1.50E-06,0.236406619
49,5/20/2020,0.002539,0.002563,0.002487,0.002508,0.002508,178925411,-1.25E-06,-0.19896538,-1.25E-05,-1.993620415
50,5/21/2020,0.00251,0.002549,0.002423,0.002485,0.002485,200924557,-1.33E-05,-2.088258471,1.38E-05,2.213279678
51,5/22/2020,0.002486,0.002543,0.002473,0.002533,0.002533,215355485,-2.50E-06,-0.393236335,-1.18E-05,-1.855507304
52,5/23/2020,0.002533,0.002565,0.002499,0.002544,0.002544,208878705,1.50E-06,0.236406619,-8.50E-06,-1.336477987
53,5/24/2020,0.002544,0.002561,0.002451,0.002458,0.002458,186657328,-1.25E-05,-1.993620415,1.65E-05,2.685109845
54,5/25/2020,0.002456,0.002546,0.002435,0.00254,0.00254,214669452,1.38E-05,2.213279678,-2.00E-06,-0.31496063
55,5/26/2020,0.002539,0.002542,0.002472,0.002486,0.002486,185485979,-1.18E-05,-1.855507304,3.23E-05,5.189058729
56,5/27/2020,0.002486,0.002529,0.002472,0.00251,0.00251,186186772,-8.50E-06,-1.336477987,1.13E-05,1.792828685
57,5/28/2020,0.002512,0.002559,0.002495,0.002524,0.002524,220213442,1.65E-05,2.685109845,3.08E-05,4.873217116
58,5/29/2020,0.002524,0.002549,0.002504,0.002532,0.002532,200485433,-2.00E-06,-0.31496063,7.25E-06,1.145339652
59,5/30/2020,0.002531,0.002626,0.002523,0.002615,0.002615,200708874,3.23E-05,5.189058729,-8.00E-06,-1.223709369
60,5/31/2020,0.002615,0.002617,0.002549,0.002555,0.002555,188184731,1.13E-05,1.792828685,1.90E-05,2.974559687
61,6/1/2020,0.002555,0.002662,0.002553,0.002647,0.002647,195748335,3.08E-05,4.873217116,-1.28E-05,-1.926709482
62,6/2/2020,0.002647,0.002655,0.00252,0.002561,0.002561,200119264,7.25E-06,1.145339652,6.50E-06,1.015228426
63,6/3/2020,0.002562,0.002598,0.002546,0.002583,0.002583,190021630,-8.00E-06,-1.223709369,5.75E-06,0.890437476
64,6/4/2020,0.002583,0.002669,0.002571,0.002631,0.002631,194078582,1.90E-05,2.974559687,-1.18E-05,-1.786393006
65,6/5/2020,0.002632,0.002634,0.00258,0.002596,0.002596,188846627,-1.28E-05,-1.926709482,-6.75E-06,-1.040061633
66,6/6/2020,0.002595,0.002606,0.002566,0.002587,0.002587,175988365,6.50E-06,1.015228426,-7.50E-07,-0.115964438
67,6/7/2020,0.002587,0.002609,0.002558,0.002606,0.002606,188151455,5.75E-06,0.890437476,-3.85E-05,-5.909439754
68,6/8/2020,0.002606,0.002607,0.002561,0.002584,0.002584,187140783,-1.18E-05,-1.786393006,-1.60E-05,-2.476780186
69,6/9/2020,0.002584,0.002587,0.002517,0.002569,0.002569,175910197,-6.75E-06,-1.040061633,-9.00E-06,-1.401323472
70,6/10/2020,0.002569,0.002595,0.002553,0.002584,0.002584,182748021,-7.50E-07,-0.115964438,-1.82E-05,-2.825077399
71,6/11/2020,0.002584,0.002602,0.002429,0.002452,0.002452,183212798,-3.85E-05,-5.909439754,6.75E-06,1.101141925
72,6/12/2020,0.002455,0.002533,0.002447,0.00252,0.00252,194920048,-1.60E-05,-2.476780186,-8.25E-06,-1.30952381
73,6/13/2020,0.00252,0.002541,0.002501,0.002533,0.002533,188981850,-9.00E-06,-1.401323472,-1.20E-05,-1.894986182
74,6/14/2020,0.002533,0.002554,0.002501,0.002511,0.002511,173334481,-1.82E-05,-2.825077399,-9.75E-06,-1.553166069
75,6/15/2020,0.00251,0.002516,0.002407,0.002479,0.002479,198803041,6.75E-06,1.101141925,-1.10E-05,-1.774909238
76,6/16/2020,0.002479,0.00253,0.002434,0.002487,0.002487,196212619,-8.25E-06,-1.30952381,-1.00E-05,-1.60836349
77,6/17/2020,0.00249,0.002492,0.002458,0.002485,0.002485,185083517,-1.20E-05,-1.894986182,-9.50E-06,-1.52917505
78,6/18/2020,0.002485,0.002493,0.002447,0.002472,0.002472,171388606,-9.75E-06,-1.553166069,5.00E-07,0.080906149
79,6/19/2020,0.002471,0.002472,0.00243,0.002435,0.002435,173280984,-1.10E-05,-1.774909238,1.23E-05,2.012320329
80,6/20/2020,0.002435,0.002466,0.002419,0.002447,0.002447,158275082,-1.00E-05,-1.60836349,-4.25E-06,-0.694728239
81,6/21/2020,0.002447,0.002478,0.002441,0.002447,0.002447,169917761,-9.50E-06,-1.52917505,-7.50E-06,-1.225991009
82,6/22/2020,0.002447,0.002495,0.002443,0.002474,0.002474,173530825,5.00E-07,0.080906149,-2.88E-05,-4.648342765
83,6/23/2020,0.002474,0.002492,0.002457,0.002484,0.002484,171604774,1.23E-05,2.012320329,-4.28E-05,-6.884057971
84,6/24/2020,0.002483,0.002497,0.002389,0.00243,0.00243,178380748,-4.25E-06,-0.694728239,-2.60E-05,-4.279835391
85,6/25/2020,0.00243,0.002433,0.00239,0.002417,0.002417,160003354,-7.50E-06,-1.225991009,-2.60E-05,-4.302854779
86,6/26/2020,0.002417,0.002427,0.002359,0.002359,0.002359,151319087,-2.88E-05,-4.648342765,-9.75E-06,-1.6532429
87,6/27/2020,0.002359,0.002379,0.002294,0.002313,0.002313,152534000,-4.28E-05,-6.884057971,1.03E-05,1.77258971
88,6/28/2020,0.002313,0.002361,0.002283,0.002326,0.002326,172693834,-2.60E-05,-4.279835391,8.75E-06,1.504729149
89,6/29/2020,0.002326,0.002341,0.002301,0.002313,0.002313,172655788,-2.60E-05,-4.302854779,7.50E-07,0.129701686
90,6/30/2020,0.002311,0.00234,0.002297,0.00232,0.00232,165641131,-9.75E-06,-1.6532429,-2.75E-06,-0.474137931
91,7/1/2020,0.00232,0.002376,0.002301,0.002354,0.002354,152549214,1.03E-05,1.77258971,-1.13E-05,-1.911639762
92,7/2/2020,0.00233,0.002382,0.002302,0.002361,0.002361,110789127,8.75E-06,1.504729149,6.38E-05,10.80050826
93,7/3/2020,0.002361,0.002366,0.002304,0.002316,0.002316,111575143,7.50E-07,0.129701686,0.0001935,33.41968912
94,7/4/2020,0.002315,0.00234,0.002289,0.002309,0.002309,109218071,-2.75E-06,-0.474137931,0.00061025,105.7167605
95,7/5/2020,0.002307,0.002327,0.002277,0.002309,0.002309,110140542,-1.13E-05,-1.911639762,0.000522,90.42875704
96,7/6/2020,0.002309,0.002624,0.002302,0.002616,0.002616,132105139,6.38E-05,10.80050826,0.00022475,34.36544343
97,7/7/2020,0.002614,0.003259,0.0026,0.00309,0.00309,283970310,0.0001935,33.41968912,0.00018025,23.33333333
98,7/8/2020,0.003097,0.00542,0.003061,0.00475,0.00475,1226813925,0.00061025,105.7167605,-0.00028,-23.57894737
99,7/9/2020,0.004732,0.005014,0.004148,0.004397,0.004397,511315527,0.000522,90.42875704,-0.00030475,-27.72344781
100,7/10/2020,0.004394,0.004394,0.003438,0.003515,0.003515,225424869,0.00022475,34.36544343,-5.53E-05,-6.287339972
101,7/11/2020,0.003528,0.00392,0.003476,0.003811,0.003811,155299369,0.00018025,23.33333333,-0.0001815,-19.05011808
102,7/12/2020,0.003811,0.003844,0.003614,0.00363,0.00363,87562043,-0.00028,-23.57894737,-0.00015875,-17.49311295
103,7/13/2020,0.00363,0.003636,0.003059,0.003178,0.003178,143177055,-0.00030475,-27.72344781,-2.93E-05,-3.68156073
